,Name,Entrynumber,Timestamp,Totaltime,Status
35,ISfwOTbWPt,1258MQE2279," 10:58:20 AM, 11:01:23 AM,3.05
,",3.05,Absent
36,pBSoqPEOum,2040CET8868," 10:58:27 AM, 10:58:52 AM,0.4166666666666667
, 11:00:32 AM, 12:30:00 PM,89.46666666666667
",0.42,Absent
37,hqWlmWrifr,9873SVW8121," 10:58:43 AM, 10:59:04 AM,0.35
, 10:59:05 AM, 12:25:10 PM,86.08333333333333
,",86.43,Present
38,lKWJATnPgg,6254CUB5022," 10:58:49 AM, 10:59:05 AM,0.26666666666666666
,",0.27,Absent
39,QMTFYtPXpQ,9003JMW3329," 10:58:54 AM, 10:59:04 AM,0.16666666666666666
, 10:59:05 AM, 12:18:38 PM,79.55
, 12:22:20 PM, 12:30:00 PM,7.666666666666667
",79.72,Present
40,qORjpZMNSx,," 10:58:58 AM, 10:59:33 AM,0.5833333333333334
, 11:00:30 AM, 12:03:51 PM,63.35
,",63.93,Present
41,BowMCVfKqn,2215SEW4680," 10:59:06 AM, 12:03:49 PM,64.71666666666667
,",64.72,Present
42,tNVRnELxcq,8283JOX5677," 10:59:12 AM, 11:16:55 AM,17.716666666666665
, 11:17:42 AM, 12:24:01 PM,66.31666666666666
,",84.03,Present
43,fqWAYtnDcy,6580TCC7412," 10:59:13 AM, 10:59:21 AM,0.13333333333333333
,",0.13,Absent
44,YqvMZqAztJ,5950GOU3946," 10:59:19 AM, 12:24:23 PM,85.06666666666666
,",85.07,Present
45,cjMhQlVtvn,4393XUO5311," 10:59:25 AM, 12:17:44 PM,78.31666666666666
,",78.32,Present
46,PBKTILSvwW,5788LHT3142," 10:59:29 AM, 11:02:18 AM,2.816666666666667
, 11:17:23 AM, 12:25:50 PM,68.45
,",71.27,Present
47,XrdoVkqQJb,," 10:59:31 AM, 12:25:00 PM,85.48333333333333
,",85.48,Present
48,EOmIqRXRDu,0115BGU9510," 10:59:39 AM, 12:24:43 PM,85.06666666666666
,",85.07,Present
49,rNUJgstGPX,5644TVQ9526," 10:59:47 AM, 11:00:02 AM,0.25
, 11:00:02 AM, 12:25:12 PM,85.16666666666667
,",85.42,Present
50,bcDOMuiaxZ,," 10:59:53 AM, 12:25:04 PM,85.18333333333334
,",85.18,Present
51,nOnPNLhICy,7440EOO4030," 11:00:01 AM, 11:05:38 AM,5.616666666666666
,",5.62,Absent
52,RpVisRhMMx,7064KTS2598," 11:00:01 AM, 11:00:06 AM,0.08333333333333333
, 11:00:22 AM, 12:25:36 PM,85.23333333333333
,",85.32,Present
53,NCrOGOVLjP,2363ESD2309," 11:00:03 AM, 12:30:00 PM,89.95
",0,Absent
54,LehNLQnPff,9793KMH0245," 11:00:03 AM, 12:19:15 PM,79.2
,",79.2,Present
55,siTANKbXBv,6499FBH4260," 11:00:05 AM, 12:15:24 PM,75.31666666666666
,",75.32,Present
56,LTRYQrsrCs,5755WIT8097," 11:00:06 AM, 11:00:23 AM,0.2833333333333333
,",0.28,Absent
57,oRpxkkLxga,7345GWD1281," 11:00:08 AM, 12:27:30 PM,87.36666666666666
,",87.37,Present
58,SxyBMRFNnU,6531SMW6020," 11:00:09 AM, 11:02:57 AM,2.8
, 11:03:32 AM, 12:25:07 PM,81.58333333333333
,",84.38,Present
59,aqXoNjKwKP,3014GKT9518," 11:00:09 AM, 12:25:02 PM,84.88333333333334
,",84.88,Present
60,USPQwhGeqQ,," 11:00:14 AM, 12:30:00 PM,89.76666666666667
",0,Absent
61,YhwIyNZMmy,3834WVK8283," 11:00:22 AM, 12:24:41 PM,84.31666666666666
,",84.32,Present
62,JPgNGKveWM,0760HRA9473," 11:00:24 AM, 12:11:53 PM,71.48333333333333
,",71.48,Present
63,NCbaTjBnGl,2470NAC0984," 11:00:26 AM, 11:01:14 AM,0.8
, 11:01:15 AM, 12:16:41 PM,75.43333333333334
,",76.23,Present
64,oAxsFLxmfE,7320YFP3716," 11:00:27 AM, 11:01:14 AM,0.7833333333333333
, 11:01:14 AM, 12:25:06 PM,83.86666666666666
,",84.65,Present
